,ECLI,Datum,verdachte
26,ECLI:NL:RBMNE:2014:1678,17-01-2014,"geboren op [1974] te [geboorteplaats] wonende te [woonplaats], [adres] raadsman mr. J.G.M. Dassen, advocaat te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 3 januari 2014, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
27,ECLI:NL:RBUTR:2012:BY5403,04-12-2012,"geboren op [1978] te [geboorteplaats] wonende te Utrecht thans gedetineerd in de penitentiaire inrichting Utrecht, locatie Wolvenplein te Utrecht raadsvrouw mr. D.I.A. Schröder, advocaat te Utrecht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 20 november 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting zijn ook de vorderingen tot tenuitvoerlegging behandeld met bovenvermelde parketnummers en zijn overeenkomstig artikel 285 van het Wetboek van Strafvordering de zaken onder voormelde parketnummers gevoegd."
28,ECLI:NL:RBUTR:2012:BX3217,22-05-2012,"geboren op [1967] te [geboorteplaats], wonende te [woonplaats], [adres]. raadsman mr. J.P.W. Nijboer, advocaat te Utrecht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 8 mei 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
29,ECLI:NL:RBUTR:2012:BV5585,24-01-2012,"geboren op [1980] te [geboorteplaats] wonende te [woonplaats] thans verblijvende in de P.I.V., Huis van Bewaring Nieuwersluis, Nieuwersluis raadsvrouw mr. L.A. Toet, advocaat te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzittingen van 20 juni 2011, 13 september 2011, 12 december 2011 en 10 januari 2012 waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
30,ECLI:NL:RBZLY:2009:BI2143,06-04-2009,"[geboortedatum], [adres]. Het onderzoek ter terechtzitting heeft plaatsgevonden op 23 maart 2009. De verdachte is verschenen, bijgestaan door mr. F.L. Lischer, advocaat te Almere. De officier van justitie, mr. M.J.E. Vink, heeft ter terechtzitting gevorderd dat verdachte veroordeeld zal worden ter zake van het primair ten laste gelegde tot een gevangenisstraf voor de duur van 5 maanden, met aftrek overeenkomstig artikel 27 van het Wetboek van Strafrecht."
31,ECLI:NL:RBZLY:2009:BH8910,24-03-2009,"geboren op [geboortedatum] zonder vaste woon- of verblijfplaats in Nederland. Het onderzoek ter terechtzitting heeft plaatsgevonden op 10 maart 2009. De verdachte is verschenen, bijgestaan door mr. M.H. Aalmoes, advocaat te Amsterdam. De officier van justitie, mr. B.E.M. van de Ven, heeft ter terechtzitting gevorderd de veroordeling van verdachte ter zake het onder 1 tot en met 5, 7 en 8 ten laste gelegde tot een gevangenisstraf voor de duur van zes maanden."
32,ECLI:NL:RBLIM:2020:293,14-01-2020,"geboren te [geboorteplaats] op [geboortedatum] 1978, wonende te [adresgegevens verdachte] , gedetineerd in PI Zuid Oost - HvB Ter Peel te Evertsoord. De verdachte wordt bijgestaan door mr. R.H.A. Julicher, advocaat kantoorhoudende te Venray. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 7 januari 2020. De verdachte en haar raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
33,ECLI:NL:RBAMS:2021:7776,29-12-2021,"geboren te [geboorteplaats] op [geboortedag] 1985, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in [detentieadres] ."
34,ECLI:NL:RBZWB:2020:6800,31-12-2020,"geboren op [geboortedag] 1973 te [geboorteplaats] , wonende te [adres verdachte] , gedetineerd in de Penitentiaire Inrichting te Dordrecht, 3313 LC Dordrecht, Kerkeplaat 25, raadsman mr. B.C.M. Sprenger, advocaat te Amsterdam. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 17 december 2020. Verdachte is niet verschenen. Wel is verschenen zijn gemachtigde raadsman. De officier van justitie mr. W.J.W.K. Suijkerbuijk en de verdediging hebben hun standpunten kenbaar gemaakt."
35,ECLI:NL:RBAMS:2019:943,13-02-2019,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1989, niet ingeschreven in de Basisregistratie Personen, ter terechtzitting opgegeven  verblijfadres [adres 1] , thans gedetineerd in het [detentieadres] ."
36,ECLI:NL:RBAMS:2019:1516,24-01-2019,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1973, zonder vaste woon- of verblijfplaats in Nederland."
37,ECLI:NL:RBAMS:2017:9860,07-12-2017,", geboren te [geboorteplaats] (Italië) op [geboortedag] 1964, ingeschreven in de Basisregistratie Personen op het adres [adres 1] [woonplaats] gedetineerd in de “Penitentiaire Inrichting [P.I.] ."
38,ECLI:NL:RBAMS:2017:7893,13-10-2017,",geboren te [geboorteplaats] (Suriname) op [geboortedag] 1956,ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] ,thans verblijvende op het adres [verblijfsadres] ."
39,ECLI:NL:RBAMS:2017:7907,13-10-2017,",geboren te [geboorteplaats] (Roemenië) op [geboortedag] 1989,zonder vaste woon- of verblijfplaats in Nederland,thans verblijvende in het [geboortedag] te [plaats] ."
40,ECLI:NL:RBLIM:2016:4821,07-06-2016,"geboren te [geboortegegevens verdachte] , thans gedetineerd in P.I. Zuid Oost, HvB Roermond te Roermond. De verdachte wordt bijgestaan door mr. B.H.M. Nijsten, advocaat kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 24 mei 2016. De verdachte en zijn raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
41,ECLI:NL:RBGEL:2014:2034,25-03-2014,
42,ECLI:NL:RBUTR:2012:BV2525,03-01-2012,"geboren op [1974] te [geboorteplaats] wonende te [woonplaats] thans gedetineerd te Nieuwegein, PI Utrecht – HvB locatie Nieuwegein raadsman mr. A.C.J. Nettenbreijers, advocaat te Veenendaal Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 20 december 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
43,ECLI:NL:RBUTR:2011:BU3960,31-10-2011,"geboren op [1975] te [geboorteplaats] (Kaapverdië) zonder vaste woon- of verblijfplaats in Nederland gedetineerd voor deze zaak te Nieuwegein, PI – Utrecht HvB locatie Nieuwegein raadsvrouw mr. S.M.J. van der Ven, advocaat te Amersfoort Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 17 oktober 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
44,ECLI:NL:RBUTR:2011:BQ7577,01-06-2011,"geboren op [1980] te [geboorteplaats], wonende te [woonplaats], [adres], raadsman mr. B.H.J. van Rhijn, advocaat te Veenendaal. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 19 mei 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
45,ECLI:NL:RBMNE:2013:CA1767,06-05-2013,"geboren op [1966] te [geboorteplaats], wonende te [woonplaats], [adres]."
46,ECLI:NL:RBNNE:2020:691,10-02-2020,"geboren op [geboortedatum] 1981 te [geboorteplaats], thans gedetineerd in de PI Leeuwarden te Leeuwarden. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van januari 2020. Verdachte is verschenen, bijgestaan door mr. W.J. Ausma, advocaat te Utrecht. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. H.J. Veen."
47,ECLI:NL:RBROT:2017:6080,04-08-2017,"geboren te [geboorteplaats verdachte] op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres [adres verdachte] , [woonplaats verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in: Penitentiaire Inrichting Krimpen aan den IJssel, raadsman mr. R.L.I. Jansen, advocaat te Dordrecht."
48,ECLI:NL:RBROT:2017:6481,20-07-2017,"geboren te [geboorteplaats verdachte] ( [geboorteland verdachte] ) op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres: [adres verdachte] , [woonplaats verdachte] , raadsman mr. S.D. Groen, advocaat te Utrecht."
49,ECLI:NL:RBAMS:2017:1863,24-02-2017,"geboren te [geboorteplaats] op [geboortedatum] 1961, ingeschreven in de Basisregistratie personen op het adres [woonadres] , [woonplaats] , gedetineerd in de PI [pi adres] ."
50,ECLI:NL:RBLIM:2015:6797,31-07-2015,"geboren te [geboorteplaats] op [geboortedatum] , wonende te [adresgegevens verdachte] , gedetineerd in Penitentiaire Inrichting Zuid Oost – Huis van Bewaring Ter Peel te Evertsoord. Raadsman is mr. A.L. Rinsma, advocaat, kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 28 juli 2015, waarbij de officier van justitie, de raadsman en de verdachte hun standpunten kenbaar hebben gemaakt."
51,ECLI:NL:RBROT:2021:8975,18-08-2021,"geboren te [geboorteplaats verdachte] ( [geboorteland verdachte] ) op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres: [adres verdachte] ( [postcode verdachte] ) te [woonplaats verdachte] , raadsman mr. T.P. van der Eerden, advocaat te Rotterdam."
52,ECLI:NL:RBROT:2017:2115,15-03-2017,"geboren op [geboortedatum verdachte] te [geboorteplaats verdachte] ( [geboorteland verdachte] ), wonende te [woonplaats verdachte] , [adres verdachte] zonder bekende feitelijke woon- of verblijfplaats in Nederland, raadsman mr. P.D. Popescu, advocaat te Amsterdam ."
53,ECLI:NL:RBROT:2021:1241,28-01-2021,", geboren op [geboortedatum verdachte] 2005 te [geboorteplaats verdachte] , ingeschreven in de basisregistratie personen op het adres: [adres verdachte] , [postcode verdachte] [woonplaats verdachte] , raadsman mr. M.A. Oosterveen, advocaat te Rotterdam."
54,ECLI:NL:RBAMS:2019:8943,28-11-2019,", geboren te [geboorteplaats] op [geboortedag] 1977, ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] ."
55,ECLI:NL:RBNNE:2019:3714,26-08-2019,"geboren op [geboortedatum] 1966 te [geboorteplaats] , wonende te [woonadres] , thans gedetineerd te PI Overijssel, PIV Zwolle. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 12 augustus 2019. Verdachte is verschenen, bijgestaan door mr. J. Boelstra, advocaat te Groningen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. R. van der Heide."
56,ECLI:NL:RBROT:2019:318,11-01-2019,"geboren te [geboorteplaats verdachte] op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres: [adres vertdachte] , [woonplaats verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de Penitentiaire Inrichting Krimpen aan den IJssel, raadsman mr. S.C. van Paridon, advocaat te Rotterdam."
57,ECLI:NL:RBAMS:2021:2283,22-04-2021,", geboren te [geboorteplaats] ([geboorteland]) op [geboortedag] 1982, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het [plaats detentie]."
58,ECLI:NL:RBLIM:2020:3023,23-04-2020,"geboren te [geboorteplaats] op [geboortedatum] , thans gedetineerd in [P.I.] . De verdachte wordt bijgestaan door mr. H.C. Ingelse, advocaat kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 9 april 2020. De verdachte en zijn raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
59,ECLI:NL:RBROT:2020:2397,05-03-2020,"geboren te Curaçao (Nederlandse Antillen) op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres [adres verdachte] , [woonplaats verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in het PPC te Den Haag, raadsvrouw mr. H. Heere-Helmink, advocaat te Rotterdam."
60,ECLI:NL:RBROT:2020:5360,30-01-2020,"geboren te [geboorteplaats verdachte] op [geboortedatum verdachte] , ingeschreven in de basisregistratie personen op het adres: [adres verdachte] , [woonplaats verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de Penitentiaire Inrichting Rotterdam, locatie De Schie te Rotterdam, raadsvrouw J. van Veelen-de Hoop, advocaat te Rotterdam."
61,ECLI:NL:RBGEL:2018:3610,16-08-2018,"geboren op [geboortedatum] 1975 te [geboorteplaats] , wonende te [adres] . Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 2 augustus 2018."
62,ECLI:NL:RBGEL:2018:3614,16-08-2018,"geboren op [geboortedatum] 1965 te [geboorteplaats] , zonder vaste woon- of verblijfplaats in Nederland. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 2 augustus 2018."
63,ECLI:NL:RBAMS:2018:4906,13-04-2018,"geboren te [geboorteplaats] ([geboorteland]) op [geboortedag] 1979, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het Huis van Bewaring [detentieadres] ."
64,ECLI:NL:RBNHO:2018:2641,13-03-2018,", geboren op 27 februari 1980 te [geboorteplaats] , zonder vaste woon- of verblijfplaats hier ten lande, thans gedetineerd in Detentiecentrum Schiphol HvB. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. C.M. Brugman en van hetgeen verdachte en zijn raadsvrouw, mr. A.A. Bloemberg, advocaat te Haarlem, naar voren hebben gebracht."
65,ECLI:NL:RBUTR:2012:BV9144,03-02-2012,"geboren op [1986] te [geboorteplaats] wonende te [woonplaats] thans gedetineerd in de P.I. Flevoland – HvB Almere Binnen te Almere raadsman mr. A. Boumanjal, advocaat te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 20 januari 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
66,ECLI:NL:RBNHO:2013:11342,19-11-2013,"geboren op [geboortedatum] te [geboorteplaats], ingeschreven in de basisadministratie persoonsgegevens op het adres [adres]. De rechtbank heeft de zaken, die bij afzonderlijke dagvaardingen onder de bovenvermelde parketnummers zijn aangebracht, gevoegd. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. S.M. de Vries en van wat verdachte en zijn raadsvrouw, mr. B. Kochheim-Bossink, advocaat te Aerdenhout, naar voren hebben gebracht."
67,ECLI:NL:RBNHO:2021:11281,09-12-2021,", geboren op [geboortedatum- plaats] , ingeschreven in de basisregistratie personen op het adres [adres 1] nu gedetineerd in P.I. Haaglanden, PPC te Den Haag. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. D.C. Smits en van hetgeen mr. M.S. Rozenbeek, advocaat te Bloemendaal, die waarnam voor de raadsvrouw van de verdachte, naar voren hebben gebracht."
68,ECLI:NL:RBAMS:2021:1597,31-03-2021,", geboren te [geboorteplaats] ([geboorteland]) op [geboortedag] 1991, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het [detentieadres]."
69,ECLI:NL:RBNNE:2020:1360,17-03-2020,"geboren op [geboortedatum] 1975 te [geboorteplaats] , thans gedetineerd in de PI [locatie]. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 3 maart 2020. Verdachte is verschenen, bijgestaan door mr. J.S. Özsaran, advocaat te Groningen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. G. Wilbrink."
70,ECLI:NL:RBAMS:2018:10155,07-03-2018,"geboren te [geboorteplaats] ([geboorteland]) op [geboortedag 1] 1969, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het Huis van Bewaring [locatie te plaats]."
71,ECLI:NL:RBAMS:2017:8837,17-11-2017,",geboren te [geboorteplaats] (Nederlandse Antillen) op [geboortedag] 1967,ingeschreven in de Basisregistratie Personen en verblijvende op het adres Vincent van Goghstraat 27-A, 1072 KK te Amsterdam."
72,ECLI:NL:RBSGR:2009:BH4054,18-02-2009,"geboren te [plaats] op [geboortedatum] 1969, thans gedetineerd in de [penitentiaire inrichting]"
73,ECLI:NL:RBAMS:2019:7346,18-09-2019,"geboren te [geboorteplaats] op [geboortedag] 1985, ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] , thans gedetineerd in het [detentieplaats] ."
74,ECLI:NL:RBMNE:2017:6934,09-05-2017,", geboren op [geboortedatum] 1964 te [geboorteplaats], wonende te [woonplaats], [adres]."
75,ECLI:NL:RBNNE:2015:3036,01-06-2015,", geboren op [geboortedatum] te [geboorteplaats], wonende te [woonplaats], [woonadres]. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van mei 2015. Verdachte is verschenen, bijgestaan door mr. V.P.K. van Rosmalen, advocaat te Groningen. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. T. Akkerman."
76,ECLI:NL:RBMNE:2014:501,07-02-2014,"geboren te [geboorteplaats]op [geboortedatum], thans gedetineerd in het Huis van Bewaring Wolvenplein te Utrecht."
77,ECLI:NL:RBMNE:2014:504,07-02-2014,"geboren op [geboortedatum] te[geboorteplaats] (Bondsrepubliek Duitsland), thans verblijvende te P.I.V. Huis van Bewaring Nieuwersluis te Nieuwersluis."
78,ECLI:NL:RBMNE:2013:CA1829,17-05-2013,"geboren te [geboorteplaats] op [1974], ingeschreven in de gemeentelijke basisadministratie persoonsgegevens op het adres [postcode] [woonplaats],[adres]."
79,ECLI:NL:RBUTR:2012:BY7499,18-12-2012,"geboren op [1968] te [geboorteplaats] wonende te [woonplaats], [adres] raadsman mr. R.D.A. van Boom, advocaat te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 4 november 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
80,ECLI:NL:RBUTR:2012:BX1392,06-07-2012,"geboren op [1993] te [geboorteplaats] (Zaïre) wonende te [woonplaats], [adres] raadsman mr. X.B. Sijmons, advocaat te Amersfoort Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 22 juni 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting zijn ook de vorderingen tot tenuitvoerlegging behandeld met bovenvermelde parketnummers."
81,ECLI:NL:RBUTR:2012:BV2994,06-02-2012,"geboren op [1986] te [geboorteplaats] gedetineerd in PI Utrecht – Huis van Bewaring locatie Nieuwegein te Nieuwegein raadsvrouwe mr. B. Molleman, advocaat te Amersfoort Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzittingen van 14 november 2011 en 23 januari 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
82,ECLI:NL:RBUTR:2011:BT8734,19-10-2011,"geboren op [1971] te [geboorteplaats], thans gedetineerd te HvB Nieuwegein te Nieuwegein, raadsman mr. A.J. Kiela, advocaat te Amersfoort. Onderzoek van de zaak Overeenkomstig artikel 369 van het wetboek van strafvordering heeft de politierechter de zaak onder de parketnummers 16/228551-10, 16/202917-10, 16/204420-10, 16/132924-10 en 16/215857-10 naar deze kamer verwezen. De zaak is inhoudelijk behandeld op de terechtzitting van 5 oktober 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting zijn overeenkomstig artikel 285 van het Wetboek van Strafvordering de zaken onder voormelde parketnummers gevoegd."
